name,sadness_ndcg_cut_5,joy_ndcg_cut_5,love_ndcg_cut_5,anger_ndcg_cut_5,fear_ndcg_cut_5,surprise_ndcg_cut_5,sadness_ndcg_cut_10,joy_ndcg_cut_10,love_ndcg_cut_10,anger_ndcg_cut_10,fear_ndcg_cut_10,surprise_ndcg_cut_10,sadness_ndcg_cut_20,joy_ndcg_cut_20,love_ndcg_cut_20,anger_ndcg_cut_20,fear_ndcg_cut_20,surprise_ndcg_cut_20,sadness_ndcg_cut_50,joy_ndcg_cut_50,love_ndcg_cut_50,anger_ndcg_cut_50,fear_ndcg_cut_50,surprise_ndcg_cut_50,sadness_ndcg,joy_ndcg,love_ndcg,anger_ndcg,fear_ndcg,surprise_ndcg
BM25,0.9484117280629141,0.9438697771283151,0.9114296741762002,0.9513266188406633,0.9067385016513455,0.883406444855437,0.910547639727264,0.903065567668225,0.870571252385546,0.9017307939506725,0.8621813044206041,0.8386772419562815,0.8724902274635893,0.8719609874525509,0.8186141000382234,0.8537759238361151,0.8064007914318357,0.7970863960722848,0.8499194012305271,0.8574468145695464,0.763044265972516,0.813574867036463,0.7706311298672276,0.7218125310140825,0.8570782103514367,0.8699192823443288,0.7453793025280007,0.8030413488557424,0.7670598500783974,0.6853242615987714
TF-IDF,0.954698680554277,0.9393081062646399,0.9150349157838772,0.9504518324376431,0.9113848860518771,0.8867416848600465,0.920878324154748,0.9071280894884781,0.8696929294804866,0.8969464554985764,0.8502193638538154,0.8337387076569341,0.8857009744471444,0.8852461086937473,0.8206892799274595,0.8460471647007691,0.804264799804939,0.7937668348996546,0.8654347499912929,0.8720860321118387,0.7707108747431927,0.8051451698203091,0.760462531694546,0.7300516213525272,0.8687037056711832,0.8794328345817739,0.7586418073718676,0.7983306263145615,0.7676082886730997,0.6970972565622927
RF,0.7225923511413613,0.7616347129591537,0.4943524254730636,0.6177988608465496,0.5352772377704261,0.43965689430018656,0.7423982845942639,0.7765969608856134,0.5253646113894856,0.674640693214149,0.5843915002821646,0.4883662989756354,0.7533181332893948,0.7698443520947097,0.5575609181122844,0.6879401936027005,0.6079462556660763,0.5249638972605656,0.7737099222193021,0.7709321744932042,0.5790803815255808,0.7094725741981296,0.6389291298813659,0.5485071668307356,0.8456738074475894,0.8444829746731216,0.690746818463663,0.7828464004566092,0.7434089257192025,0.6506169980186671
RFC,0.8837479464983375,0.8754512394399968,0.8043599444670914,0.8564803454477348,0.8578046687058293,0.7458331780128847,0.8638586133547186,0.8590081116662293,0.7938978532178621,0.8375406005296446,0.829318283176788,0.7300484545782218,0.8448273413423085,0.8426268403119442,0.7657999363566094,0.8141851332791282,0.7858547221556377,0.7127595612153874,0.8328972857140529,0.8392516553597261,0.7347996333701977,0.7901861285603209,0.759069123836462,0.6713108232126824,0.8548525007005807,0.8675999803919195,0.7411714570953636,0.7995184983044473,0.765197198536665,0.6765862405189893
CA,0.9164709194362111,0.9349332465953782,0.9136928303527536,0.8842830558384438,0.8810951350772015,0.8506905680744568,0.877997144670373,0.8996594798818721,0.8692957824920035,0.8452278331909419,0.8347494290290949,0.8146450189594299,0.8219560284809555,0.8775588910344629,0.796207498004921,0.7936489988527751,0.7664689320102499,0.7564613095930242,0.7974193437607217,0.8667054428721147,0.7458313811675894,0.7481642104156314,0.7036842013644283,0.6841207292242433,0.8440523503299951,0.8839256652259526,0.7596526957096311,0.7837602936649752,0.7414954951234459,0.7004796335641923
LGBM,0.7648409479389235,0.5745473357777012,0.40600588304221313,0.4965982124358813,0.5849199818591749,0.34945065348211934,0.7728050841981267,0.6249803946965771,0.44820814970588757,0.5824719315953523,0.6302477606069439,0.40343961688530655,0.7705926592452171,0.6477977198608798,0.4842596541478326,0.6173142385501056,0.6417553577598963,0.4430562768182844,0.7820109864344384,0.6892797750361526,0.5242100859936456,0.6499283317888185,0.6550258241108492,0.45734321356268587,0.8399692363944606,0.8342522172819384,0.68600414014643,0.763677644726911,0.7386713173753506,0.6154784448687212
